filename trial 2ag_47c0 2ag_47c1 2ag_105c0 2ag_105c1 2ag_165c0 2ag_165c1 2ag_225c0 2ag_225c1 AphosNoPP_47c0 AphosNoPP_47c1 AphosNoPP_105c0 AphosNoPP_105c1 AphosNoPP_165c0 AphosNoPP_165c1 AphosNoPP_225c0 AphosNoPP_225c1 CKpCam_47c0 CKpCam_47c1 CKpCam_105c0 CKpCam_105c1 CKpCam_165c0 CKpCam_165c1 CKpCam_225c0 CKpCam_225c1 Epac1_47c0 Epac1_47c1 Epac1_105c0 Epac1_105c1 Epac1_165c0 Epac1_165c1 Epac1_225c0 Epac1_225c1 Pkc_47c0 Pkc_47c1 Pkc_105c0 Pkc_105c1 Pkc_165c0 Pkc_165c1 Pkc_225c0 Pkc_225c1 
Plc50-stim20hz-blockM1 0 12.51 15.34 30.55 29.07 38.63 37.46 29.44 28.3 388.17 476.66 1671.02 1668.75 2246.57 2336.23 2570.22 2485.31 0.0 0.0 31.09 29.15 52.91 56.64 72.76 82.64 19.0 16.88 81.57 82.81 96.78 101.18 115.95 112.01 2.89 10.23 7.64 131.74 12.58 121.21 12.42 161.19
Plc50-stim20hz-blockM1 1 10.85 12.27 36.48 38.19 37.05 39.0 25.69 25.7 379.53 403.53 1717.49 1719.81 2113.13 2060.26 2498.75 2532.75 0.0 0.0 27.82 31.11 50.84 43.43 81.73 85.84 24.17 24.55 80.15 80.94 88.51 95.55 120.62 117.38 0.0 0.0 5.6 89.37 12.36 159.1 12.79 161.27
Plc50-stim20hz-blockM1 2 7.16 10.74 39.99 40.49 40.02 39.51 35.57 36.01 390.14 352.9 1890.28 1864.89 2220.06 2121.46 2019.6 1900.09 0.0 0.0 24.25 23.78 43.56 51.91 61.49 57.96 26.01 23.53 101.34 99.48 115.08 118.27 71.36 70.2 2.03 0.0 12.22 108.47 11.15 93.25 13.78 126.41
Plc50-stim20hz-blockMGlu 0 27.46 30.18 89.54 89.25 94.25 97.13 80.01 79.96 465.44 392.28 1593.69 1517.02 2119.22 2259.77 2292.21 2266.24 0.0 0.0 25.64 32.48 52.25 60.9 77.86 75.52 30.75 25.57 82.74 81.79 88.25 86.05 77.31 81.36 2.77 0.0 24.5 13.38 44.25 5.97 51.42 27.79
Plc50-stim20hz-blockMGlu 1 51.47 53.19 102.41 98.96 96.21 98.92 96.58 97.47 310.81 302.77 1804.44 1637.08 2107.88 1904.7 2184.59 2023.48 0.0 0.0 27.9 36.91 50.0 54.98 66.04 69.26 14.17 7.16 89.62 86.9 90.27 88.82 96.51 98.79 4.3 0.0 29.94 8.65 36.85 9.33 52.46 26.04
Plc50-stim20hz-blockMGlu 2 36.9 32.22 106.37 103.95 100.85 102.93 82.31 80.17 508.45 655.16 1888.63 1897.66 2280.53 2300.08 2261.19 2287.38 0.0 0.0 27.37 26.34 59.15 57.84 81.82 90.23 25.49 23.01 95.92 97.3 107.09 101.82 90.27 86.95 11.07 0.0 27.82 9.04 35.85 11.08 51.04 38.57
Plc50-stim20hz-noReb_lowDaDec3 0 26.04 20.97 109.08 111.92 110.19 113.54 84.8 83.41 475.92 437.28 1901.34 1823.08 2195.49 2180.32 2381.16 2399.01 0.0 0.0 27.78 31.24 52.53 58.13 82.04 85.41 26.13 28.13 90.42 93.68 105.37 102.59 101.2 102.12 8.15 0.0 37.07 95.26 49.38 159.78 70.71 159.4
Plc50-stim20hz-noReb_lowDaDec3 1 38.74 34.27 104.11 107.06 115.76 115.54 89.92 88.1 363.42 459.79 1684.69 1629.67 1884.02 1710.73 2036.97 2027.78 0.0 0.0 18.22 18.88 43.4 54.21 74.42 78.25 11.93 8.18 87.0 82.38 85.79 86.22 91.96 90.7 5.13 1.02 30.12 92.74 32.82 124.32 53.39 158.8
Plc50-stim20hz-noReb_lowDaDec3 2 40.95 39.38 114.26 113.5 121.03 120.7 99.09 96.24 539.2 470.02 1939.88 1992.45 2090.57 2098.28 2121.86 1935.43 0.0 0.0 19.45 23.36 45.36 52.55 65.59 65.55 30.84 25.06 92.23 94.53 90.14 95.73 92.95 91.76 6.0 0.0 32.33 103.06 42.53 162.04 52.72 162.72
Plc50-stimtheta-blockM1 0 10.21 6.14 40.81 42.32 20.45 20.67 8.09 6.82 486.35 430.12 2067.86 2051.69 2774.92 2717.04 3128.53 3194.56 0.0 0.0 109.28 114.52 216.47 246.39 270.74 294.76 23.77 20.97 125.04 123.09 173.07 173.21 127.93 132.8 1.54 0.0 18.7 207.82 31.12 289.56 16.32 181.6
Plc50-stimtheta-blockM1 1 11.59 12.27 41.63 41.98 23.21 20.67 6.1 6.78 537.78 702.21 1896.94 1969.82 2586.94 2718.7 3122.42 3269.44 0.0 0.0 103.22 105.14 196.83 203.34 238.86 261.35 23.21 16.88 95.66 91.04 141.04 140.86 128.66 125.69 2.64 0.0 14.73 144.57 27.17 263.61 12.66 125.18
Plc50-stimtheta-blockM1 2 15.43 20.97 43.26 44.45 26.38 25.91 5.94 5.33 519.95 594.81 2026.89 1923.15 2787.41 2693.17 3097.13 3044.75 0.0 0.0 98.18 107.66 190.3 197.67 242.1 256.53 25.8 20.46 100.68 101.39 173.07 175.51 134.89 134.42 1.2 0.0 17.96 159.23 29.69 229.0 15.65 139.67
