filename trial 2ag_47c0 2ag_47c1 2ag_105c0 2ag_105c1 2ag_165c0 2ag_165c1 2ag_225c0 2ag_225c1 AphosNoPP_47c0 AphosNoPP_47c1 AphosNoPP_105c0 AphosNoPP_105c1 AphosNoPP_165c0 AphosNoPP_165c1 AphosNoPP_225c0 AphosNoPP_225c1 CKpCam_47c0 CKpCam_47c1 CKpCam_105c0 CKpCam_105c1 CKpCam_165c0 CKpCam_165c1 CKpCam_225c0 CKpCam_225c1 Epac1_47c0 Epac1_47c1 Epac1_105c0 Epac1_105c1 Epac1_165c0 Epac1_165c1 Epac1_225c0 Epac1_225c1 Pkc_47c0 Pkc_47c1 Pkc_105c0 Pkc_105c1 Pkc_165c0 Pkc_165c1 Pkc_225c0 Pkc_225c1 
m1sp-stim20hz-blockM1 0 27.7 31.71 59.54 58.39 56.1 54.51 49.5 48.54 445.55 530.88 2008.72 1979.24 2298.66 2298.04 2509.51 2413.16 0.0 0.0 20.89 17.26 41.8 39.72 58.52 60.18 26.84 29.66 114.04 116.61 107.92 113.63 127.71 131.61 4.58 0.0 16.46 60.95 18.9 74.63 24.45 76.8
m1sp-stim20hz-blockM1 1 21.61 18.41 57.37 53.53 50.9 51.02 50.12 48.67 512.42 552.87 2151.31 2278.9 2270.27 2171.67 2253.36 2214.84 0.0 0.0 25.95 17.3 54.27 65.93 74.31 77.44 17.68 6.14 119.63 120.96 108.73 110.98 96.63 95.68 5.04 0.0 15.49 57.79 19.72 76.67 27.82 71.22
m1sp-stim20hz-blockM1 2 36.28 30.69 63.25 65.34 51.67 52.08 50.62 50.59 409.26 365.68 1873.06 1832.11 2303.0 2257.25 2149.8 2007.28 0.0 0.0 15.8 18.28 39.55 41.9 61.93 65.17 27.52 26.08 91.85 98.2 106.48 108.68 86.84 85.75 3.35 0.0 13.94 91.12 11.89 117.84 21.66 86.77
m1sp-stim20hz-blockMGlu 0 48.0 48.08 136.76 133.66 118.07 116.1 100.36 96.11 432.2 579.46 1875.54 1792.9 2045.87 1867.66 2252.64 2179.47 0.0 0.0 33.71 48.46 59.8 68.7 75.95 80.89 24.17 18.41 98.02 100.63 86.08 86.9 96.95 97.77 6.76 0.0 48.4 13.3 60.53 38.78 78.85 74.07
m1sp-stim20hz-blockMGlu 1 41.32 41.94 130.4 126.5 117.73 118.74 96.44 93.89 418.52 291.01 2043.88 1945.14 2393.45 2528.74 2396.62 2519.28 0.0 0.0 18.88 22.42 49.54 61.12 75.74 76.89 20.75 20.97 106.75 102.25 112.47 111.92 112.63 112.82 8.02 0.0 43.09 16.92 47.28 26.21 62.73 39.0
m1sp-stim20hz-blockMGlu 2 48.55 51.14 130.24 127.48 129.64 128.29 86.66 86.9 338.82 345.74 1771.3 1506.28 2034.34 1760.6 1896.43 1771.13 1.54 0.0 37.31 41.3 60.68 57.75 84.72 75.27 24.32 27.62 81.95 82.34 92.62 93.89 86.33 87.33 5.75 0.0 43.34 31.16 55.9 91.21 62.19 78.85
m1sp-stim20hz-noReb_lowDaDec3 0 61.83 57.79 137.28 135.87 130.83 129.69 112.09 114.26 511.83 624.47 1837.42 1867.53 2246.0 2118.65 2624.27 2337.8 0.0 0.0 23.81 22.08 56.83 63.8 83.26 71.64 16.36 7.16 88.73 85.62 107.86 109.62 99.59 94.7 5.78 0.0 43.9 53.02 54.1 84.64 68.41 84.09
m1sp-stim20hz-noReb_lowDaDec3 1 38.4 35.8 135.99 136.85 135.79 133.7 111.18 110.09 426.42 553.38 1860.67 1829.64 2100.52 2026.93 2003.86 2004.81 0.0 0.0 16.02 21.52 33.85 38.61 64.42 80.64 24.63 25.57 107.58 107.83 91.81 87.97 87.53 88.22 1.29 25.57 41.95 49.99 48.23 75.52 59.49 128.16
m1sp-stim20hz-noReb_lowDaDec3 2 51.25 48.59 153.04 154.5 127.24 128.03 112.18 112.77 395.95 352.38 1726.96 1729.57 2109.67 2012.61 2241.29 2071.21 0.0 0.0 27.82 34.74 45.02 47.56 60.29 60.26 12.64 8.18 83.77 80.34 102.59 97.64 82.12 85.07 5.63 0.0 44.91 62.1 50.99 66.15 63.15 89.63
m1sp-stimtheta-blockM1 0 22.32 16.88 71.16 71.26 37.71 38.57 8.7 9.72 550.17 584.58 2105.34 2047.05 2787.46 2713.8 3152.31 3052.67 0.0 0.0 96.78 101.82 194.63 198.65 242.82 237.22 26.04 28.13 123.99 123.26 168.45 172.53 124.63 121.04 2.64 0.0 27.99 107.57 52.03 208.63 27.72 61.67
m1sp-stimtheta-blockM1 1 16.11 23.53 62.77 58.56 35.88 34.74 9.88 10.78 278.59 410.69 1887.82 1985.12 2845.69 2782.55 3391.57 3554.61 0.0 0.0 95.8 97.52 193.36 198.18 240.15 245.41 19.15 20.46 113.43 111.62 179.8 183.05 176.67 185.01 1.54 0.0 27.2 95.09 58.39 209.86 32.75 109.15
